494,ビクティニ,Victini
495,ツタージャ,Snivy
496,ジャノビー,Servine
497,ジャローダ,Serperior
498,ポカブ,Tepig
499,チャオブー,Pignite
500,エンブオー,Emboar
501,ミジュマル,Oshawott
502,フタチマル,Dewott
503,ダイケンキ,Samurott
504,ミネズミ,Patrat
505,ミルホッグ,Watchog
506,ヨーテリー,Lillipup
507,ハーデリア,Herdier
508,ムーランド,Stoutland
509,チョロネコ,Purrloin
510,レパルダス,Liepard
511,ヤナップ,Pansage
512,ヤナッキー,Simisage
513,バオップ,Pansear
514,バオッキー,Simisear
515,ヒヤップ,Panpour
516,ヒヤッキー,Simipour
517,ムンナ,Munna
518,ムシャーナ,Musharna
519,マメパト,Pidove
520,ハトーボー,Tranquill
521,ケンホロウ,Unfezant
522,シママ,Blitzle
523,ゼブライカ,Zebstrika
524,ダンゴロ,Roggenrola
525,ガントル,Boldore
526,ギガイアス,Gigalith
527,コロモリ,Woobat
528,ココロモリ,Swoobat
529,モグリュー,Drilbur
530,ドリュウズ,Excadrill
531,タブンネ,Audino
532,ドッコラー,Timburr
533,ドテッコツ,Gurdurr
534,ローブシン,Conkeldurr
535,オタマロ,Tympole
536,ガマガル,Palpitoad
537,ガマゲロゲ,Seismitoad
538,ナゲキ,Throh
539,ダゲキ,Sawk
540,クルミル,Sewaddle
541,クルマユ,Swadloon
542,ハハコモリ,Leavanny
543,フシデ,Venipede
544,ホイーガ,Whirlipede
545,ペンドラー,Scolipede
546,モンメン,Cottonee
547,エルフーン,Whimsicott
548,チュリネ,Petilil
549,ドレディア,Lilligant
550,バスラオ,Basculin
551,メグロコ,Sandile
552,ワルビル,Krokorok
553,ワルビアル,Krookodile
554,ダルマッカ,Darumaka
555,ヒヒダルマ,Darmanitan
556,マラカッチ,Maractus
557,イシズマイ,Dwebble
558,イワパレス,Crustle
559,ズルッグ,Scraggy
560,ズルズキン,Scrafty
561,シンボラー,Sigilyph
562,デスマス,Yamask
563,デスカーン,Cofagrigus
564,プロトーガ,Tirtouga
565,アバゴーラ,Carracosta
566,アーケン,Archen
567,アーケオス,Archeops
568,ヤブクロン,Trubbish
569,ダストダス,Garbodor
570,ゾロア,Zorua
571,ゾロアーク,Zoroark
572,チラーミィ,Minccino
573,チラチーノ,Cinccino
574,ゴチム,Gothita
575,ゴチミル,Gothorita
576,ゴチルゼル,Gothitelle
577,ユニラン,Solosis
578,ダブラン,Duosion
579,ランクルス,Reuniclus
580,コアルヒー,Ducklett
581,スワンナ,Swanna
582,バニプッチ,Vanillite
583,バニリッチ,Vanillish
584,バイバニラ,Vanilluxe
585,シキジカ,Deerling
586,メブキジカ,Sawsbuck
587,エモンガ,Emolga
588,カブルモ,Karrablast
589,シュバルゴ,Escavalier
590,タマゲタケ,Foongus
591,モロバレル,Amoonguss
592,プルリル,Frillish
593,ブルンゲル,Jellicent
594,ママンボウ,Alomomola
595,バチュル,Joltik
596,デンチュラ,Galvantula
597,テッシード,Ferroseed
598,ナットレイ,Ferrothorn
599,ギアル,Klink
600,ギギアル,Klang
601,ギギギアル,Klinklang
602,シビシラス,Tynamo
603,シビビール,Eelektrik
604,シビルドン,Eelektross
605,リグレー,Elgyem
606,オーベム,Beheeyem
607,ヒトモシ,Litwick
608,ランプラー,Lampent
609,シャンデラ,Chandelure
610,キバゴ,Axew
611,オノンド,Fraxure
612,オノノクス,Haxorus
613,クマシュン,Cubchoo
614,ツンベアー,Beartic
615,フリージオ,Cryogonal
616,チョボマキ,Shelmet
617,アギルダー,Accelgor
618,マッギョ,Stunfisk
619,コジョフー,Mienfoo
620,コジョンド,Mienshao
621,クリムガン,Druddigon
622,ゴビット,Golett
623,ゴルーグ,Golurk
624,コマタナ,Pawniard
625,キリキザン,Bisharp
626,バッフロン,Bouffalant
627,ワシボン,Rufflet
628,ウォーグル,Braviary
629,バルチャイ,Vullaby
630,バルジーナ,Mandibuzz
631,クイタラン,Heatmor
632,アイアント,Durant
633,モノズ,Deino
634,ジヘッド,Zweilous
635,サザンドラ,Hydreigon
636,メラルバ,Larvesta
637,ウルガモス,Volcarona
638,コバルオン,Cobalion
639,テラキオン,Terrakion
640,ビリジオン,Virizion
641,トルネロス,Tornadus
642,ボルトロス,Thundurus
643,レシラム,Reshiram
644,ゼクロム,Zekrom
645,ランドロス,Landorus
646,キュレム,Kyurem
647,ケルディオ,Keldeo
648,メロエッタ,Meloetta
649,ゲノセクト,Genesect
