"Bulbasaur",Return
"Ivysaur",Return
"Venusaur",Frenzy Plant
"Venusaur",Return
"Charmander",Return
"Squirtle",Return
"Wartortle",Return
"Blastoise",Return
"Blastoise",Hydro Cannon
"Rattata",Return
"Raticate",Return
"Spearow",Twister
"Fearow",Twister
"Ekans",Gunk Shot
"Raichu",Thunder
"Sandshrew",Rock Tomb
"Jigglypuff",Play Rough
"Jigglypuff",Body Slam
"Zubat",Sludge Bomb
"Zubat",Return
"Golbat",Ominous Wind
"Golbat",Return
"Oddish",Return
"Gloom",Return
"Vileplume",Return
"Meowth",Body Slam
"Persian",Night Slash
"Poliwag",Return
"Poliwhirl",Scald
"Poliwhirl",Return
"Poliwrath",Submission
"Poliwrath",Return
"Alakazam",Dazzling Gleam
"Alakazam",Psychic
"Machoke",Cross Chop
"Ponyta",Fire Blast
"Doduo",Swift
"Dodrio",Air Cutter
"Cloyster",Blizzard
"Onix",Iron Head
"Onix",Rock Slide
"Drowzee",Return
"Hypno",Psyshock
"Hypno",Return
"Voltorb",Signal Beam
"Cubone",Return
"Marowak",Return
"Hitmonlee",Stomp
"Hitmonlee",Brick Break
"Rhydon",Megahorn
"Chansey",Psybeam
"Tangela",Power Whip
"Kangaskhan",Brick Break
"Kangaskhan",Stomp
"Seadra",Blizzard
"Pinsir",Submission
"Magikarp",Return
"Eevee",Body Slam
"Eevee",Last Resort
"Vaporeon",Last Resort
"Jolteon",Last Resort
"Flareon",Heat Wave
"Flareon",Last Resort
"Omanyte",Rock Tomb
"Omanyte",Brine
"Articuno",Hurricane
"Articuno",Return
"Dratini",Return
"Dragonair",Return
"Dragonite",Dragon Pulse
"Dragonite",Draco Meteor
"Dragonite",Return
"Mewtwo",Shadow Ball
"Mewtwo",Hyper Beam
"Mewtwo",Psystrike
"Armored Mewtwo",Psystrike
"Meganium",Frenzy Plant
"Typhlosion",Blast Burn
"Crobat",Return
"Cleffa",Psychic
"Cleffa",Body Slam
"Igglybuff",Body Slam
"Ampharos",Dragon Pulse
"Bellossom",Return
"Politoed",Earthquake
"Politoed",Return
"Espeon",Last Resort
"Umbreon",Last Resort
"Houndour",Return
"Houndoom",Return
"Elekid",Thunderbolt
"Magby",Flamethrower
"Sceptile",Frenzy Plant
"Blaziken",Stone Edge
"Blaziken",Blast Burn
"Swampert",Hydro Cannon
"Ralts",Return
"Kirlia",Return
"Gardevoir",Synchronoise
"Gardevoir",Return
"Breloom",Grass Knot
"Slaking",Body Slam
"Loudred",Crunch
"Flygon",Earth Power
"Salamence",Outrage
"Metagross",Meteor Mash
"Infernape",Blast Burn
"Empoleon",Hydro Cannon
"Torterra",Return
"Torterra",Frenzy Plant
"Lickilicky",Body Slam
"Rhyperior",Rock Wrecker
"Leafeon",Last Resort
"Glaceon",Last Resort
"Mamoswine",Ancient Power
"Gallade",Synchronoise
"Gallade",Return
"Gastrodon",Earthquake
"Grimer",Return
"Muk",Return
"Arcanine",Bulldoze
"Arcanine",Return
"Gyarados",Dragon Pulse
"Gyarados",Return
"Ninetales",Fire Blast
"Ninetales",Flamethrower
"Moltres",Sky Attack
"Charizard",Flamethrower
"Charizard",Blast Burn
"Charizard",Return
"Dewgong",Aqua Jet
"Dewgong",Icy Wind
"Lapras",Dragon Pulse
"Lapras",Ice Beam
"Primeape",Cross Chop
"Machamp",Stone Edge
"Machamp",Submission
"Gengar",Sludge Wave
"Gengar",Dark Pulse
"Gengar",Psychic
"Graveler",Rock Slide
"Golem",Ancient Power
"Seaking",Icy Wind
"Seaking",Drill Run
"Jynx",Ice Punch
"Pikachu",Surf
"Pikachu",Thunder
"Starmie",Psybeam
"Porygon",Discharge
"Porygon",Psybeam
"Porygon",Signal Beam
"Hitmonchan",Brick Break
"Omastar",Rock Slide
"Charmeleon",Return
"Scyther",Bug Buzz
"Scyther",Return
"Gastly",Ominous Wind
"Zapdos",Discharge
"Zapdos",Return
"Seel",Aqua Jet
"Feraligatr",Hydro Cannon
"Pidgeot",Air Cutter
"Snorlax",Return
