1,BULBASAUR,フシギダネ,Bulbasaur
2,IVYSAUR,フシギソウ,Ivysaur
3,VENUSAUR,フシギバナ,Venusaur
4,CHARMANDER,ヒトカゲ,Charmander
5,CHARMELEON,リザード,Charmeleon
6,CHARIZARD,リザードン,Charizard
7,SQUIRTLE,ゼニガメ,Squirtle
8,WARTORTLE,カメール,Wartortle
9,BLASTOISE,カメックス,Blastoise
10,CATERPIE,キャタピー,Caterpie
11,METAPOD,トランセル,Metapod
12,BUTTERFREE,バタフリー,Butterfree
13,WEEDLE,ビードル,Weedle
14,KAKUNA,コクーン,Kakuna
15,BEEDRILL,スピアー,Beedrill
16,PIDGEY,ポッポ,Pidgey
17,PIDGEOTTO,ピジョン,Pidgeotto
18,PIDGEOT,ピジョット,Pidgeot
19,RATTATA_NORMAL,コラッタ,Rattata
19,RATTATA_ALOLA,コラッタ (アローラのすがた),Alolan Rattata
20,RATICATE_NORMAL,ラッタ,Raticate
20,RATICATE_ALOLA,ラッタ (アローラのすがた),Alolan Raticate
21,SPEAROW,オニスズメ,Spearow
22,FEAROW,オニドリル,Fearow
23,EKANS,アーボ,Ekans
24,ARBOK,アーボック,Arbok
25,PIKACHU,ピカチュウ,Pikachu
26,RAICHU_ALOLA,ライチュウ (アローラのすがた),Alolan Raichu
26,RAICHU_NORMAL,ライチュウ,Raichu
27,SANDSHREW_ALOLA,サンド (アローラのすがた),Alolan Sandshrew
27,SANDSHREW_NORMAL,サンド,Sandshrew
28,SANDSLASH_ALOLA,サンドパン (アローラのすがた),Alolan Sandslash
28,SANDSLASH_NORMAL,サンドパン,Sandslash
29,NIDORAN,ニドラン♀,Nidoran♀
30,NIDORINA,ニドリーナ,Nidorina
31,NIDOQUEEN,ニドクイン,Nidoqueen
32,NIDORAN,ニドラン♂,Nidoran♂
33,NIDORINO,ニドリーノ,Nidorino
34,NIDOKING,ニドキング,Nidoking
35,CLEFAIRY,ピッピ,Clefairy
36,CLEFABLE,ピクシー,Clefable
37,VULPIX_NORMAL,ロコン,Vulpix
37,VULPIX_ALOLA,ロコン (アローラのすがた),Alolan Vulpix
38,NINETALES_NORMAL,キュウコン,Ninetales
38,NINETALES_ALOLA,キュウコン (アローラのすがた),Alolan Ninetales
39,JIGGLYPUFF,プリン,Jigglypuff
40,WIGGLYTUFF,プクリン,Wigglytuff
41,ZUBAT,ズバット,Zubat
42,GOLBAT,ゴルバット,Golbat
43,ODDISH,ナゾノクサ,Oddish
44,GLOOM,クサイハナ,Gloom
45,VILEPLUME,ラフレシア,Vileplume
46,PARAS,パラス,Paras
47,PARASECT,パラセクト,Parasect
48,VENONAT,コンパン,Venonat
49,VENOMOTH,モルフォン,Venomoth
50,DIGLETT_ALOLA,ディグダ (アローラのすがた),Alolan Diglett
50,DIGLETT_NORMAL,ディグダ,Diglett
51,DUGTRIO_ALOLA,ダグトリオ (アローラのすがた),Alolan Dugtrio
51,DUGTRIO_NORMAL,ダグトリオ,Dugtrio
52,MEOWTH_NORMAL,ニャース,Meowth
52,MEOWTH_ALOLA,ニャース (アローラのすがた),Alolan Meowth
53,PERSIAN_NORMAL,ペルシアン,Persian
53,PERSIAN_ALOLA,ペルシアン (アローラのすがた),Alolan Persian
