0200	FURY_CUTTER	BUG	3	400	6	100	400
0201	BUG_BITE	BUG	5	500	6	250	450
0202	BITE	DARK	6	500	4	300	500
0203	SUCKER_PUNCH	DARK	7	700	8	300	700
0204	DRAGON_BREATH	DRAGON	6	500	4	300	500
0205	THUNDER_SHOCK	ELECTRIC	5	600	8	300	600
0206	SPARK	ELECTRIC	6	700	9	300	700
0207	LOW_KICK	FIGHTING	6	600	6	300	600
0208	KARATE_CHOP	FIGHTING	8	800	10	600	800
0209	EMBER	FIRE	10	1000	10	600	800
0210	WING_ATTACK	FLYING	8	800	9	550	750
0211	PECK	FLYING	10	1000	10	450	900
0212	LICK	GHOST	5	500	6	200	500
0213	SHADOW_CLAW	GHOST	9	700	6	250	500
0214	VINE_WHIP	GRASS	7	600	6	350	600
0215	RAZOR_LEAF	GRASS	13	1000	7	600	850
0216	MUD_SHOT	GROUND	5	600	7	350	550
0217	ICE_SHARD	ICE	12	1200	12	600	900
0218	FROST_BREATH	ICE	10	900	8	450	750
0219	QUICK_ATTACK	NORMAL	8	800	10	250	550
0220	SCRATCH	NORMAL	6	500	4	300	500
0221	TACKLE	NORMAL	5	500	5	300	500
0222	POUND	NORMAL	7	600	6	340	540
0223	CUT	NORMAL	5	500	5	300	500
0224	POISON_JAB	POISON	10	800	7	200	800
0225	ACID	POISON	9	800	8	400	600
0226	PSYCHO_CUT	PSYCHIC	5	600	8	370	570
0227	ROCK_THROW	ROCK	12	900	7	500	800
0228	METAL_CLAW	STEEL	8	700	7	430	630
0229	BULLET_PUNCH	STEEL	9	900	10	300	900
0230	WATER_GUN	WATER	5	500	5	300	500
0231	SPLASH	WATER	0	1730	20	1030	1230
0233	MUD_SLAP	GROUND	18	1400	12	1150	1350
0234	ZEN_HEADBUTT	PSYCHIC	12	1100	10	850	1050
0235	CONFUSION	PSYCHIC	20	1600	15	600	1600
0236	POISON_STING	POISON	5	600	7	375	575
0237	BUBBLE	WATER	12	1200	14	750	1000
0238	FEINT_ATTACK	DARK	10	900	9	750	900
0239	STEEL_WING	STEEL	11	800	6	500	800
0240	FIRE_FANG	FIRE	12	900	8	640	840
0241	ROCK_SMASH	FIGHTING	15	1300	10	550	800
0242	TRANSFORM	NORMAL	0	2230	0	300	700
0243	COUNTER	FIGHTING	12	900	8	700	900
0244	POWDER_SNOW	ICE	6	1000	15	850	1000
0249	CHARGE_BEAM	ELECTRIC	8	1100	15	850	1050
0250	VOLT_SWITCH	ELECTRIC	14	1600	21	700	900
0253	DRAGON_TAIL	DRAGON	15	1100	9	850	1050
0255	AIR_SLASH	FLYING	14	1200	10	1000	1200
0260	INFESTATION	BUG	10	1100	14	850	1050
0261	STRUGGLE_BUG	BUG	15	1500	15	1200	1500
0263	ASTONISH	GHOST	8	1100	14	700	1050
0264	HEX	GHOST	10	1200	16	1000	1200
0266	IRON_TAIL	STEEL	15	1100	7	850	1050
0269	FIRE_SPIN	FIRE	14	1100	10	850	1050
0271	BULLET_SEED	GRASS	8	1100	14	850	1050
0274	EXTRASENSORY	PSYCHIC	12	1100	12	850	1050
0278	SNARL	DARK	12	1100	14	850	1050
0281	HIDDEN_POWER	NORMAL	15	1500	15	1100	1400
0282	TAKE_DOWN	NORMAL	8	1200	10	950	1100
0283	WATERFALL	WATER	16	1200	8	950	1100
0287	YAWN	NORMAL	0	1700	15	1400	1600
0291	PRESENT	NORMAL	5	1300	20	1100	1300
0297	SMACK_DOWN	ROCK	16	1200	8	800	1100
0320	CHARM	FAIRY	20	1500	11	900	1200
0325	LOCK_ON	NORMAL	1	300	6	170	300
0326	THUNDER_FANG	ELECTRIC	12	1200	16	400	900
0327	ICE_FANG	ICE	12	1500	20	400	1000
0345	GUST	FLYING	25	2000	20	900	2000
0346	INCINERATE	FIRE	29	2300	20	500	2300
