0001	BULBASAUR	GRASS	POISON	118	111	128	true
0001	BULBASAUR_FALL_2019	GRASS	POISON	118	111	128	true
0001	BULBASAUR_NORMAL	GRASS	POISON	118	111	128	true
0002	IVYSAUR	GRASS	POISON	151	143	155	true
0002	IVYSAUR_NORMAL	GRASS	POISON	151	143	155	true
0003	VENUSAUR	GRASS	POISON	198	189	190	true
0003	VENUSAUR_COPY_2019	GRASS	POISON	198	189	190	true
0003	VENUSAUR_NORMAL	GRASS	POISON	198	189	190	true
0004	CHARMANDER	FIRE		116	93	118	true
0004	CHARMANDER_FALL_2019	FIRE		116	93	118	true
0004	CHARMANDER_NORMAL	FIRE		116	93	118	true
0005	CHARMELEON	FIRE		158	126	151	true
0005	CHARMELEON_NORMAL	FIRE		158	126	151	true
0006	CHARIZARD	FIRE	FLYING	223	173	186	true
0006	CHARIZARD_COPY_2019	FIRE	FLYING	223	173	186	true
0006	CHARIZARD_NORMAL	FIRE	FLYING	223	173	186	true
0007	SQUIRTLE	WATER		94	121	127	true
0007	SQUIRTLE_FALL_2019	WATER		94	121	127	true
0007	SQUIRTLE_NORMAL	WATER		94	121	127	true
0008	WARTORTLE	WATER		126	155	153	true
0008	WARTORTLE_NORMAL	WATER		126	155	153	true
0009	BLASTOISE	WATER		171	207	188	true
0009	BLASTOISE_COPY_2019	WATER		171	207	188	true
0009	BLASTOISE_NORMAL	WATER		171	207	188	true
0010	CATERPIE	BUG		55	55	128	false
0011	METAPOD	BUG		45	80	137	false
0012	BUTTERFREE	BUG	FLYING	167	137	155	false
0013	WEEDLE	BUG	POISON	63	50	120	true
0013	WEEDLE_NORMAL	BUG	POISON	63	50	120	true
0014	KAKUNA	BUG	POISON	46	75	128	true
0014	KAKUNA_NORMAL	BUG	POISON	46	75	128	true
0015	BEEDRILL	BUG	POISON	169	130	163	true
0015	BEEDRILL_NORMAL	BUG	POISON	169	130	163	true
0016	PIDGEY	NORMAL	FLYING	85	73	120	false
0017	PIDGEOTTO	NORMAL	FLYING	117	105	160	false
0018	PIDGEOT	NORMAL	FLYING	166	154	195	false
0019	RATTATA	NORMAL		103	70	102	true
0019	RATTATA_ALOLA	DARK	NORMAL	103	70	102	true
0019	RATTATA_NORMAL	NORMAL		103	70	102	true
0020	RATICATE	NORMAL		161	139	146	true
0020	RATICATE_ALOLA	DARK	NORMAL	135	154	181	true
0020	RATICATE_NORMAL	NORMAL		161	139	146	true
0021	SPEAROW	NORMAL	FLYING	112	60	120	false
0022	FEAROW	NORMAL	FLYING	182	133	163	false
0023	EKANS	POISON		110	97	111	true
0023	EKANS_NORMAL	POISON		110	97	111	true
0024	ARBOK	POISON		167	153	155	true
0024	ARBOK_NORMAL	POISON		167	153	155	true
0025	PIKACHU	ELECTRIC		112	96	111	false
0025	PIKACHU_ADVENTURE_HAT_2020	ELECTRIC		112	96	111	false
0025	PIKACHU_COPY_2019	ELECTRIC		112	96	111	false
0025	PIKACHU_COSTUME_2020	ELECTRIC		112	96	111	false
0025	PIKACHU_FALL_2019	ELECTRIC		112	96	111	false
0025	PIKACHU_FLYING_01	ELECTRIC		112	96	111	false
0025	PIKACHU_FLYING_02	ELECTRIC		112	96	111	false
0025	PIKACHU_FLYING_5TH_ANNIV	ELECTRIC		112	96	111	false
0025	PIKACHU_FLYING_OKINAWA	ELECTRIC		112	96	111	false
0025	PIKACHU_GOFEST_2022	ELECTRIC		112	96	111	false
0025	PIKACHU_KARIYUSHI	ELECTRIC		112	96	111	false
0025	PIKACHU_NORMAL	ELECTRIC		112	96	111	false
0025	PIKACHU_POP_STAR	ELECTRIC		112	96	111	false
0025	PIKACHU_ROCK_STAR	ELECTRIC		112	96	111	false
0025	PIKACHU_TSHIRT_01	ELECTRIC		112	96	111	false
0025	PIKACHU_TSHIRT_02	ELECTRIC		112	96	111	false
0025	PIKACHU_VS_2019	ELECTRIC		112	96	111	false
0025	PIKACHU_WCS_2022	ELECTRIC		112	96	111	false
0025	PIKACHU_WINTER_2020	ELECTRIC		112	96	111	false
