BUG	NORMAL	1
BUG	FIGHTING	0.625
BUG	FLYING	0.625
BUG	POISON	0.625
BUG	GROUND	1
BUG	ROCK	1
BUG	BUG	1
BUG	GHOST	0.625
BUG	STEEL	0.625
BUG	FIRE	0.625
BUG	WATER	1
BUG	GRASS	1.6
BUG	ELECTRIC	1
BUG	PSYCHIC	1.6
BUG	ICE	1
BUG	DRAGON	1
BUG	DARK	1.6
BUG	FAIRY	0.625
DARK	NORMAL	1
DARK	FIGHTING	0.625
DARK	FLYING	1
DARK	POISON	1
DARK	GROUND	1
DARK	ROCK	1
DARK	BUG	1
DARK	GHOST	1.6
DARK	STEEL	1
DARK	FIRE	1
DARK	WATER	1
DARK	GRASS	1
DARK	ELECTRIC	1
DARK	PSYCHIC	1.6
DARK	ICE	1
DARK	DRAGON	1
DARK	DARK	0.625
DARK	FAIRY	0.625
DRAGON	NORMAL	1
DRAGON	FIGHTING	1
DRAGON	FLYING	1
DRAGON	POISON	1
DRAGON	GROUND	1
DRAGON	ROCK	1
DRAGON	BUG	1
DRAGON	GHOST	1
DRAGON	STEEL	0.625
DRAGON	FIRE	1
DRAGON	WATER	1
DRAGON	GRASS	1
DRAGON	ELECTRIC	1
DRAGON	PSYCHIC	1
DRAGON	ICE	1
DRAGON	DRAGON	1.6
DRAGON	DARK	1
DRAGON	FAIRY	0.390625
ELECTRIC	NORMAL	1
ELECTRIC	FIGHTING	1
ELECTRIC	FLYING	1.6
ELECTRIC	POISON	1
ELECTRIC	GROUND	0.390625
ELECTRIC	ROCK	1
ELECTRIC	BUG	1
ELECTRIC	GHOST	1
ELECTRIC	STEEL	1
ELECTRIC	FIRE	1
ELECTRIC	WATER	1.6
ELECTRIC	GRASS	0.625
ELECTRIC	ELECTRIC	0.625
ELECTRIC	PSYCHIC	1
ELECTRIC	ICE	1
ELECTRIC	DRAGON	0.625
ELECTRIC	DARK	1
ELECTRIC	FAIRY	1
FAIRY	NORMAL	1
FAIRY	FIGHTING	1.6
FAIRY	FLYING	1
FAIRY	POISON	0.625
FAIRY	GROUND	1
FAIRY	ROCK	1
FAIRY	BUG	1
FAIRY	GHOST	1
FAIRY	STEEL	0.625
FAIRY	FIRE	0.625
FAIRY	WATER	1
FAIRY	GRASS	1
FAIRY	ELECTRIC	1
FAIRY	PSYCHIC	1
FAIRY	ICE	1
FAIRY	DRAGON	1.6
FAIRY	DARK	1.6
FAIRY	FAIRY	1
FIGHTING	NORMAL	1.6
FIGHTING	FIGHTING	1
FIGHTING	FLYING	0.625
FIGHTING	POISON	0.625
FIGHTING	GROUND	1
FIGHTING	ROCK	1.6
FIGHTING	BUG	0.625
FIGHTING	GHOST	0.390625
