1,null,"BULBASAUR",12,4,118,111,128
1,897,"BULBASAUR_FALL_2019",12,4,118,111,128
1,163,"BULBASAUR_NORMAL",12,4,118,111,128
1,165,"BULBASAUR_PURIFIED",12,4,118,111,128
1,164,"BULBASAUR_SHADOW",12,4,118,111,128
2,null,"IVYSAUR",12,4,151,143,155
2,166,"IVYSAUR_NORMAL",12,4,151,143,155
2,168,"IVYSAUR_PURIFIED",12,4,151,143,155
2,167,"IVYSAUR_SHADOW",12,4,151,143,155
3,null,"VENUSAUR",12,4,198,189,190
3,950,"VENUSAUR_COPY_2019",12,4,198,189,190
3,169,"VENUSAUR_NORMAL",12,4,198,189,190
3,171,"VENUSAUR_PURIFIED",12,4,198,189,190
3,170,"VENUSAUR_SHADOW",12,4,198,189,190
4,null,"CHARMANDER",10,null,116,93,118
4,896,"CHARMANDER_FALL_2019",10,null,116,93,118
4,172,"CHARMANDER_NORMAL",10,null,116,93,118
4,174,"CHARMANDER_PURIFIED",10,null,116,93,118
4,173,"CHARMANDER_SHADOW",10,null,116,93,118
5,null,"CHARMELEON",10,null,158,126,151
5,175,"CHARMELEON_NORMAL",10,null,158,126,151
5,177,"CHARMELEON_PURIFIED",10,null,158,126,151
5,176,"CHARMELEON_SHADOW",10,null,158,126,151
6,null,"CHARIZARD",10,3,223,173,186
6,951,"CHARIZARD_COPY_2019",10,3,223,173,186
6,178,"CHARIZARD_NORMAL",10,3,223,173,186
6,180,"CHARIZARD_PURIFIED",10,3,223,173,186
6,179,"CHARIZARD_SHADOW",10,3,223,173,186
7,null,"SQUIRTLE",11,null,94,121,127
7,895,"SQUIRTLE_FALL_2019",11,null,94,121,127
7,181,"SQUIRTLE_NORMAL",11,null,94,121,127
7,183,"SQUIRTLE_PURIFIED",11,null,94,121,127
7,182,"SQUIRTLE_SHADOW",11,null,94,121,127
8,null,"WARTORTLE",11,null,126,155,153
8,184,"WARTORTLE_NORMAL",11,null,126,155,153
8,186,"WARTORTLE_PURIFIED",11,null,126,155,153
8,185,"WARTORTLE_SHADOW",11,null,126,155,153
9,null,"BLASTOISE",11,null,171,207,188
9,952,"BLASTOISE_COPY_2019",11,null,171,207,188
9,187,"BLASTOISE_NORMAL",11,null,171,207,188
9,189,"BLASTOISE_PURIFIED",11,null,171,207,188
9,188,"BLASTOISE_SHADOW",11,null,171,207,188
10,null,"CATERPIE",7,null,55,55,128
11,null,"METAPOD",7,null,45,80,137
12,null,"BUTTERFREE",7,3,167,137,155
13,null,"WEEDLE",7,4,63,50,120
13,616,"WEEDLE_NORMAL",7,4,63,50,120
13,618,"WEEDLE_PURIFIED",7,4,63,50,120
13,617,"WEEDLE_SHADOW",7,4,63,50,120
14,null,"KAKUNA",7,4,46,75,128
14,619,"KAKUNA_NORMAL",7,4,46,75,128
14,621,"KAKUNA_PURIFIED",7,4,46,75,128
14,620,"KAKUNA_SHADOW",7,4,46,75,128
15,null,"BEEDRILL",7,4,169,130,163
15,622,"BEEDRILL_NORMAL",7,4,169,130,163
15,624,"BEEDRILL_PURIFIED",7,4,169,130,163
15,623,"BEEDRILL_SHADOW",7,4,169,130,163
16,null,"PIDGEY",1,3,85,73,120
17,null,"PIDGEOTTO",1,3,117,105,160
18,null,"PIDGEOT",1,3,166,154,195
19,null,"RATTATA",1,null,103,70,102
19,46,"RATTATA_ALOLA",17,1,103,70,102
19,45,"RATTATA_NORMAL",1,null,103,70,102
19,154,"RATTATA_PURIFIED",1,null,103,70,102
19,153,"RATTATA_SHADOW",1,null,103,70,102
20,null,"RATICATE",1,null,161,139,146
20,48,"RATICATE_ALOLA",17,1,135,154,181
20,47,"RATICATE_NORMAL",1,null,161,139,146
20,156,"RATICATE_PURIFIED",1,null,161,139,146
20,155,"RATICATE_SHADOW",1,null,161,139,146
21,null,"SPEAROW",1,3,112,60,120
22,null,"FEAROW",1,3,182,133,163
23,null,"EKANS",4,null,110,97,111
23,697,"EKANS_NORMAL",4,null,110,97,111
23,699,"EKANS_PURIFIED",4,null,110,97,111
23,698,"EKANS_SHADOW",4,null,110,97,111
24,null,"ARBOK",4,null,167,153,155
24,700,"ARBOK_NORMAL",4,null,167,153,155
24,702,"ARBOK_PURIFIED",4,null,167,153,155
24,701,"ARBOK_SHADOW",4,null,167,153,155
25,null,"PIKACHU",13,null,112,96,111
25,949,"PIKACHU_COPY_2019",13,null,112,96,111
25,894,"PIKACHU_FALL_2019",13,null,112,96,111
25,598,"PIKACHU_NORMAL",13,null,112,96,111
26,null,"RAICHU",13,null,193,151,155
26,50,"RAICHU_ALOLA",13,14,201,154,155
26,49,"RAICHU_NORMAL",13,null,193,151,155
27,null,"SANDSHREW",5,null,126,120,137
27,52,"SANDSHREW_ALOLA",15,9,125,129,137
27,51,"SANDSHREW_NORMAL",5,null,126,120,137
27,674,"SANDSHREW_PURIFIED",5,null,126,120,137
27,673,"SANDSHREW_SHADOW",5,null,126,120,137
28,null,"SANDSLASH",5,null,182,175,181
28,54,"SANDSLASH_ALOLA",15,9,177,195,181
28,53,"SANDSLASH_NORMAL",5,null,182,175,181
