0200	FURY_CUTTER	BUG	2	0	4
0201	BUG_BITE	BUG	3	0	3
0202	BITE	DARK	4	0	2
0203	SUCKER_PUNCH	DARK	5	1	7
0204	DRAGON_BREATH	DRAGON	4	0	3
0205	THUNDER_SHOCK	ELECTRIC	3	1	9
0206	SPARK	ELECTRIC	4	1	8
0207	LOW_KICK	FIGHTING	4	1	5
0208	KARATE_CHOP	FIGHTING	5	1	8
0209	EMBER	FIRE	7	1	6
0210	WING_ATTACK	FLYING	5	1	7
0211	PECK	FLYING	6	1	5
0212	LICK	GHOST	3	0	3
0213	SHADOW_CLAW	GHOST	6	1	8
0214	VINE_WHIP	GRASS	5	1	8
0215	RAZOR_LEAF	GRASS	10	1	4
0216	MUD_SHOT	GROUND	3	1	9
0217	ICE_SHARD	ICE	9	2	10
0218	FROST_BREATH	ICE	7	1	5
0219	QUICK_ATTACK	NORMAL	5	1	7
0220	SCRATCH	NORMAL	4	0	2
0221	TACKLE	NORMAL	3	0	2
0222	POUND	NORMAL	5	1	4
0223	CUT	NORMAL	3	0	2
0224	POISON_JAB	POISON	6	1	7
0225	ACID	POISON	6	1	5
0226	PSYCHO_CUT	PSYCHIC	3	1	9
0227	ROCK_THROW	ROCK	8	1	5
0228	METAL_CLAW	STEEL	5	1	6
0229	BULLET_PUNCH	STEEL	6	1	7
0230	WATER_GUN	WATER	3	0	3
0231	SPLASH	WATER	0	3	12
0233	MUD_SLAP	GROUND	11	2	8
0234	ZEN_HEADBUTT	PSYCHIC	8	2	6
0235	CONFUSION	PSYCHIC	16	3	12
0236	POISON_STING	POISON	3	1	8
0237	BUBBLE	WATER	7	2	11
0238	FEINT_ATTACK	DARK	6	1	6
0239	STEEL_WING	STEEL	7	1	5
0240	FIRE_FANG	FIRE	8	1	5
0241	ROCK_SMASH	FIGHTING	9	2	7
0242	TRANSFORM	NORMAL	0	2	0
0243	COUNTER	FIGHTING	8	1	7
0244	POWDER_SNOW	ICE	5	1	8
0249	CHARGE_BEAM	ELECTRIC	5	2	11
0250	VOLT_SWITCH	ELECTRIC	12	3	16
0253	DRAGON_TAIL	DRAGON	9	2	10
0255	AIR_SLASH	FLYING	9	2	9
0260	INFESTATION	BUG	6	2	12
0261	STRUGGLE_BUG	BUG	9	2	8
0263	ASTONISH	GHOST	5	2	9
0264	HEX	GHOST	6	2	12
0266	IRON_TAIL	STEEL	9	2	6
0269	FIRE_SPIN	FIRE	9	2	10
0271	BULLET_SEED	GRASS	5	2	13
0274	EXTRASENSORY	PSYCHIC	8	2	10
0278	SNARL	DARK	5	2	13
0281	HIDDEN_POWER	NORMAL	9	2	8
0282	TAKE_DOWN	NORMAL	5	2	8
0283	WATERFALL	WATER	12	2	8
0287	YAWN	NORMAL	0	3	12
0291	PRESENT	NORMAL	3	2	12
0297	SMACK_DOWN	ROCK	12	2	8
0320	CHARM	FAIRY	16	2	6
0325	LOCK_ON	NORMAL	1	0	5
0326	THUNDER_FANG	ELECTRIC	8	1	5
0327	ICE_FANG	ICE	8	1	5
0345	GUST	FLYING	16	3	12
0346	INCINERATE	FIRE	15	4	20
