319	SHARPEDO	サメハダー	WATER	DARK	1495	24	168	64	122		かみつく	DARK	8	0.5	18		どくどくのキバ	POISON	15	159	1.590	9.0	33.7	6.5	8.0	6.5	18.0	7	0.160	0.057	2.789
319	SHARPEDO	サメハダー	WATER	DARK	1495	24	168	64	122		かみつく	DARK	8	0.5	23		かみくだく	DARK	124	308	3.080	11.5	43.0	6.5	8.0	6.5	18.0	7	0.160	0.057	2.789
319	SHARPEDO	サメハダー	WATER	DARK	1495	24	168	64	122		かみつく	DARK	8	0.5	38		ハイドロポンプ	WATER	143	447	4.470	19.0	39.6	6.5	8.0	6.5	18.0	7	0.160	0.057	2.789
318	CARVANHA	キバニア	WATER	DARK	1020	40	146	42	113		かみつく	DARK	7	0.5	23		かみくだく	DARK	108	269	2.690	11.5	37.6	7.5	8.0	7.5	12.0	10	0.140	0.088	1.582
318	CARVANHA	キバニア	WATER	DARK	1020	40	146	42	113		かみつく	DARK	7	0.5	18		どくどくのキバ	POISON	13	139	1.390	9.0	29.5	7.5	8.0	7.5	12.0	10	0.140	0.088	1.582
318	CARVANHA	キバニア	WATER	DARK	1020	40	146	42	113		かみつく	DARK	7	0.5	23		アクアジェット	WATER	44	205	2.050	11.5	31.9	7.5	8.0	7.5	12.0	10	0.140	0.088	1.582
435	SKUNTANK	スカタンク	POISON	DARK	1482	22	124	92	153		かみつく	DARK	6	0.5	23		かみくだく	DARK	91	229	2.290	11.5	32.1	8.5	8.0	8.5	22.0	7	0.120	0.046	2.623
435	SKUNTANK	スカタンク	POISON	DARK	1482	22	124	92	153		かみつく	DARK	6	0.5	25		ヘドロばくだん	POISON	26	176	1.760	12.5	26.1	8.5	8.0	8.5	22.0	7	0.120	0.046	2.623
435	SKUNTANK	スカタンク	POISON	DARK	1482	22	124	92	153		かみつく	DARK	6	0.5	25		かえんほうしゃ	FIRE	76	226	2.260	12.5	30.1	8.5	8.0	8.5	22.0	7	0.120	0.046	2.623
262	MIGHTYENA	グラエナ	DARK		1485	27	129	102	129		かみつく	DARK	6	0.5	30		じゃれつく	FAIRY	40	220	2.200	15.0	26.7	8.5	8.0	8.5	19.0	7	0.120	0.054	2.211
262	MIGHTYENA	グラエナ	DARK		1485	27	129	102	129		かみつく	DARK	6	0.5	18		どくどくのキバ	POISON	11	119	1.190	9.0	25.3	8.5	8.0	8.5	19.0	7	0.120	0.054	2.211
262	MIGHTYENA	グラエナ	DARK		1485	27	129	102	129		かみつく	DARK	6	0.5	23		かみくだく	DARK	95	233	2.330	11.5	32.4	8.5	8.0	8.5	19.0	7	0.120	0.054	2.211
93	HAUNTER	ゴースト	GHOST	POISON	1486	26.5	163	83	98	▲	したでなめる	GHOST	6	0.5	12		シャドーパンチ	GHOST	69	141	1.410	6.0	35.8	6.0	8.0	8.5	13.0	8	0.120	0.082	1.470
93	HAUNTER	ゴースト	GHOST	POISON	1486	26.5	163	83	98	▲	したでなめる	GHOST	6	0.5	19	▲	シャドーボール	GHOST	171	285	2.850	9.5	42.7	8.5	8.0	8.5	13.0	8	0.120	0.082	1.470
93	HAUNTER	ゴースト	GHOST	POISON	1486	26.5	163	83	98	▲	したでなめる	GHOST	6	0.5	17		あくのはどう	DARK	114	216	2.160	8.5	37.7	8.5	8.0	8.5	13.0	8	0.120	0.082	1.470
