1	フシギダネ	BULBASAUR	GRASS	POISON	128	118	111	1115	40	105	99	113	8.17165814463111760409
2	フシギソウ	IVYSAUR	GRASS	POISON	155	151	143	1492	31.5	122	117	125	10.54434030281182408075
3	フシギバナ	VENUSAUR	GRASS	POISON	190	198	189	1476	19	124	118	119	10.11671469740634005763
4	ヒトカゲ	CHARMANDER	FIRE		118	116	93	980	40	103	85	105	6.58671586715867158671
5	リザード	CHARMELEON	FIRE		151	158	126	1499	33.5	130	106	124	9.55232558139534883721
6	リザードン	CHARIZARD	FIRE	FLYING	186	223	173	1486	18	134	106	113	8.70494186046511627907
7	ゼニガメ	SQUIRTLE	WATER		127	94	121	946	40	86	107	112	8.70297748729121278141
8	カメール	WARTORTLE	WATER		153	126	155	1488	40	111	134	132	12.59829059829059829059
9	カメックス	BLASTOISE	WATER		188	171	207	1479	21	113	135	124	11.91459074733096085409
10	キャタピー	CATERPIE	BUG		128	55	55	437	40	55	55	113	4.69056603773584905660
11	トランセル	METAPOD	BUG		137	45	80	450	40	47	75	120	6.69144981412639405205
12	バタフリー	BUTTERFREE	BUG	FLYING	155	167	137	1487	28.5	129	108	121	9.48330914368650217707
13	ビードル	WEEDLE	BUG	POISON	120	63	50	456	40	61	51	106	4.09235427706283118849
14	コクーン	KAKUNA	BUG	POISON	128	46	75	432	40	48	71	113	5.98284862043251304996
15	スピアー	BEEDRILL	BUG	POISON	163	169	130	1477	28	130	102	125	9.29300291545189504373
16	ポッポ	PIDGEY	NORMAL	FLYING	120	85	73	680	40	79	69	106	5.46228528752800597461
17	ピジョン	PIDGEOTTO	NORMAL	FLYING	160	117	105	1194	40	104	94	138	9.51026392961876832845
18	ピジョット	PIDGEOT	NORMAL	FLYING	195	166	154	1490	24.5	119	111	138	11.09196234612599565532
19	コラッタ	RATTATA_NORMAL	NORMAL		102	103	70	734	40	93	67	92	4.61032161555721765146
19	コラッタ (アローラのすがた)	RATTATA_ALOLA	DARK	NORMAL	102	103	70	734	40	93	67	92	4.61032161555721765146
20	ラッタ	RATICATE_NORMAL	NORMAL		146	161	139	1496	30.5	129	113	118	9.64135936370209689082
20	ラッタ (アローラのすがた)	RATICATE_ALOLA	DARK	NORMAL	181	135	154	1498	31.5	111	125	145	12.99283154121863799283
21	オニスズメ	SPEAROW	NORMAL	FLYING	120	112	60	798	40	100	59	106	4.70579382994732881866
22	オニドリル	FEAROW	NORMAL	FLYING	163	182	133	1483	26	134	100	121	8.83211678832116788321
23	アーボ	EKANS	POISON		111	110	97	927	40	98	88	99	6.41531664212076583211
24	アーボック	ARBOK	POISON		155	167	153	1482	27	126	116	118	9.87590187590187590188
25	ピカチュウ	PIKACHU	ELECTRIC		111	112	96	938	40	100	87	99	6.34708916728076639646
26	ライチュウ (アローラのすがた)	RAICHU_ALOLA	ELECTRIC	PSYCHIC	155	201	154	1469	22.5	136	107	107	8.31445170660856935366
26	ライチュウ	RAICHU_NORMAL	ELECTRIC		155	193	151	1496	24	136	108	111	8.69956458635703918723
27	サンド (アローラのすがた)	SANDSHREW_ALOLA	ICE	STEEL	137	125	129	1293	40	110	113	120	9.80477223427331887202
27	サンド	SANDSHREW_NORMAL	GROUND		137	126	120	1261	40	111	106	120	9.24418604651162790697
28	サンドパン (アローラのすがた)	SANDSLASH_ALOLA	ICE	STEEL	181	177	195	1494	21.5	118	130	121	11.23571428571428571428
28	サンドパン	SANDSLASH_NORMAL	GROUND		181	182	175	1492	22	123	119	122	10.45212383009359251260
30	ニドリーナ	NIDORINA	POISON		172	117	120	1309	40	104	106	147	11.32412790697674418604
31	ニドクイン	NIDOQUEEN	POISON	GROUND	207	180	173	1492	21	119	115	135	11.20938628158844765343
33	ニドリーノ	NIDORINO	POISON		156	137	111	1393	40	120	99	135	9.76260043827611395179
34	ニドキング	NIDOKING	POISON	GROUND	191	204	156	1466	20	130	102	123	9.14431486880466472303
35	ピッピ	CLEFAIRY	FAIRY		172	107	108	1155	40	96	97	147	10.43087051938551572787
36	ピクシー	CLEFABLE	FAIRY		216	178	162	1497	21.5	119	109	143	11.30311820159535895576
37	ロコン	VULPIX_NORMAL	FIRE		116	96	109	883	40	87	97	103	7.30870519385515727871
