0001	フシギダネ	BULBASAUR_NORMAL	GRASS	POISON	1.0	0.625	1.6	1.0	1.0	1.0	1.0	1.0	1.0	1.6	0.625	0.390625	0.625	1.6	1.6	1.0	1.0	0.625
0002	フシギソウ	IVYSAUR_NORMAL	GRASS	POISON	1.0	0.625	1.6	1.0	1.0	1.0	1.0	1.0	1.0	1.6	0.625	0.390625	0.625	1.6	1.6	1.0	1.0	0.625
0003	フシギバナ	VENUSAUR_NORMAL	GRASS	POISON	1.0	0.625	1.6	1.0	1.0	1.0	1.0	1.0	1.0	1.6	0.625	0.390625	0.625	1.6	1.6	1.0	1.0	0.625
0004	ヒトカゲ	CHARMANDER_NORMAL	FIRE		1.0	1.0	1.0	1.0	1.6	1.6	0.625	1.0	0.625	0.625	1.6	0.625	1.0	1.0	0.625	1.0	1.0	0.625
0005	リザード	CHARMELEON_NORMAL	FIRE		1.0	1.0	1.0	1.0	1.6	1.6	0.625	1.0	0.625	0.625	1.6	0.625	1.0	1.0	0.625	1.0	1.0	0.625
0006	リザードン	CHARIZARD_NORMAL	FIRE	FLYING	1.0	0.625	1.0	1.0	0.625	2.56	0.390625	1.0	0.625	0.625	1.6	0.390625	1.6	1.0	1.0	1.0	1.0	0.625
0007	ゼニガメ	SQUIRTLE_NORMAL	WATER		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.625	0.625	0.625	1.6	1.6	1.0	0.625	1.0	1.0	1.0
0008	カメール	WARTORTLE_NORMAL	WATER		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.625	0.625	0.625	1.6	1.6	1.0	0.625	1.0	1.0	1.0
0009	カメックス	BLASTOISE_NORMAL	WATER		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.625	0.625	0.625	1.6	1.6	1.0	0.625	1.0	1.0	1.0
0010	キャタピー	CATERPIE	BUG		1.0	0.625	1.6	1.0	0.625	1.6	1.0	1.0	1.0	1.6	1.0	0.625	1.0	1.0	1.0	1.0	1.0	1.0
0011	トランセル	METAPOD	BUG		1.0	0.625	1.6	1.0	0.625	1.6	1.0	1.0	1.0	1.6	1.0	0.625	1.0	1.0	1.0	1.0	1.0	1.0
0012	バタフリー	BUTTERFREE	BUG	FLYING	1.0	0.390625	1.6	1.0	0.244140625	2.56	0.625	1.0	1.0	1.6	1.0	0.390625	1.6	1.0	1.6	1.0	1.0	1.0
