LAST_RESORT	とっておき	NORMAL	90	55	1.64
WRAP_PINK	まきつく（ピンク）	NORMAL	25	45	0.56
WRAP_GREEN	まきつく（みどり）	NORMAL	25	45	0.56
WRAP	まきつく	NORMAL	60	45	1.33
VICE_GRIP	はさむ	NORMAL	40	40	1.00
SWIFT	スピードスター	NORMAL	60	55	1.09
STRUGGLE	わるあがき	NORMAL	35	100	0.35
STOMP	ふみつけ	NORMAL	55	40	1.38
REST	ねむる	NORMAL	50	35	1.43
HYPER_FANG	ひっさつまえば	NORMAL	80	50	1.60
HYPER_BEAM	はかいこうせん	NORMAL	150	80	1.88
HORN_ATTACK	つのでつく	NORMAL	40	35	1.14
BODY_SLAM	のしかかり	NORMAL	50	35	1.43
SUBMISSION	じごくぐるま	FIGHTING	60	50	1.20
LOW_SWEEP	ローキック	FIGHTING	40	40	1.00
FOCUS_BLAST	きあいだま	FIGHTING	150	75	2.00
DYNAMIC_PUNCH	ばくれつパンチ	FIGHTING	90	50	1.80
CROSS_CHOP	クロスチョップ	FIGHTING	50	35	1.43
CLOSE_COMBAT	インファイト	FIGHTING	100	60	1.67
BRICK_BREAK	かわらわり	FIGHTING	40	35	1.14
SKY_ATTACK	ゴッドバード	FLYING	80	45	1.78
HURRICANE	ぼうふう	FLYING	110	65	1.69
DRILL_PECK	ドリルくちばし	FLYING	60	40	1.50
BRAVE_BIRD	ブレイブバード	FLYING	90	55	1.64
AIR_CUTTER	エアカッター	FLYING	60	55	1.09
AERIAL_ACE	つばめがえし	FLYING	55	45	1.22
SLUDGE_WAVE	ヘドロウェーブ	POISON	110	65	1.69
SLUDGE_BOMB	ヘドロばくだん	POISON	80	50	1.60
SLUDGE	ヘドロこうげき	POISON	50	40	1.25
POISON_FANG	どくどくのキバ	POISON	40	35	1.14
GUNK_SHOT	ダストシュート	POISON	130	75	1.73
CROSS_POISON	クロスポイズン	POISON	40	35	1.14
PRECIPICE_BLADES	だんがいのつるぎ	GROUND	130	60	2.17
SAND_TOMB	すなじごく	GROUND	80	60	1.33
MUD_BOMB	どろばくだん	GROUND	55	40	1.38
EARTHQUAKE	じしん	GROUND	120	65	1.85
DRILL_RUN	ドリルライナー	GROUND	80	55	1.45
DIG	あなをほる	GROUND	100	80	1.25
BULLDOZE	じならし	GROUND	80	60	1.33
BONE_CLUB	ホネこんぼう	GROUND	40	35	1.14
WEATHER_BALL_ROCK	ウェザーボール（いわ）	ROCK	60	35	1.71
STONE_EDGE	ストーンエッジ	ROCK	100	55	1.82
ROCK_TOMB	がんせきふうじ	ROCK	70	60	1.17
ROCK_SLIDE	いわなだれ	ROCK	80	45	1.78
ROCK_BLAST	ロックブラスト	ROCK	50	40	1.25
POWER_GEM	パワージェム	ROCK	80	60	1.33
ANCIENT_POWER	げんしのちから	ROCK	70	45	1.56
X_SCISSOR	シザークロス	BUG	45	35	1.29
SILVER_WIND	ぎんいろのかぜ	BUG	70	45	1.56
SIGNAL_BEAM	シグナルビーム	BUG	75	55	1.36
MEGAHORN	メガホーン	BUG	90	55	1.64
BUG_BUZZ	むしのさざめき	BUG	90	60	1.50
SHADOW_SNEAK	かげうち	GHOST	50	45	1.11
SHADOW_PUNCH	シャドーパンチ	GHOST	40	35	1.14
SHADOW_BALL	シャドーボール	GHOST	100	55	1.82
OMINOUS_WIND	あやしいかぜ	GHOST	50	40	1.25
NIGHT_SHADE	ナイトヘッド	GHOST	60	55	1.09
METEOR_MASH	コメットパンチ	STEEL	100	50	2.00
DOOM_DESIRE	はめつのねがい	STEEL	80	35	2.29
MAGNET_BOMB	マグネットボム	STEEL	70	45	1.56
IRON_HEAD	アイアンヘッド	STEEL	60	50	1.20
HEAVY_SLAM	ヘビーボンバー	STEEL	70	50	1.40
GYRO_BALL	ジャイロボール	STEEL	80	60	1.33
FLASH_CANNON	ラスターカノン	STEEL	110	65	1.69
BLAST_BURN	ブラストバーン	FIRE	110	50	2.20
WEATHER_BALL_FIRE	ウェザーボール（ほのお）	FIRE	60	35	1.71
OVERHEAT	オーバーヒート	FIRE	150	80	1.88
HEAT_WAVE	ねっぷう	FIRE	95	75	1.27
FLAME_WHEEL	かえんぐるま	FIRE	60	55	1.09
FLAMETHROWER	かえんほうしゃ	FIRE	70	50	1.40
FLAME_CHARGE	ニトロチャージ	FIRE	70	50	1.40
FLAME_BURST	はじけるほのお	FIRE	70	55	1.27
FIRE_PUNCH	ほのおのパンチ	FIRE	55	40	1.38
FIRE_BLAST	だいもんじ	FIRE	140	80	1.75
HYDRO_CANNON	ハイドロカノン	WATER	90	40	2.25
WEATHER_BALL_WATER	ウェザーボール（みず）	WATER	60	35	1.71
ORIGIN_PULSE	こんげんのはどう	WATER	130	60	2.17
SURF	なみのり	WATER	65	40	1.63
WATER_PULSE	みずのはどう	WATER	70	60	1.17
