1	BULBASAUR	フシギダネ	GRASS	POISON		VINE_WHIP	つるのムチ	★	GRASS	6.0	1.0	8	6.0	8.0		SEED_BOMB	タネばくだん	★	GRASS	40	66.0	1.7	5	5.0	19.20
1	BULBASAUR	フシギダネ	GRASS	POISON		TACKLE	たいあたり		NORMAL	3.0	0.5	2	6.0	4.0		SEED_BOMB	タネばくだん	★	GRASS	40	66.0	1.7	20	10.0	12.60
1	BULBASAUR	フシギダネ	GRASS	POISON		VINE_WHIP	つるのムチ	★	GRASS	6.0	1.0	8	6.0	8.0		POWER_WHIP	パワーウィップ	★	GRASS	50	108.0	2.2	7	7.0	21.43
1	BULBASAUR	フシギダネ	GRASS	POISON		TACKLE	たいあたり		NORMAL	3.0	0.5	2	6.0	4.0		POWER_WHIP	パワーウィップ	★	GRASS	50	108.0	2.2	25	12.5	14.64
1	BULBASAUR	フシギダネ	GRASS	POISON		VINE_WHIP	つるのムチ	★	GRASS	6.0	1.0	8	6.0	8.0		SLUDGE_BOMB	ヘドロばくだん	★	POISON	50	96.0	1.9	7	7.0	19.71
1	BULBASAUR	フシギダネ	GRASS	POISON		TACKLE	たいあたり		NORMAL	3.0	0.5	2	6.0	4.0		SLUDGE_BOMB	ヘドロばくだん	★	POISON	50	96.0	1.9	25	12.5	13.68
2	IVYSAUR	フシギソウ	GRASS	POISON		RAZOR_LEAF	はっぱカッター	★	GRASS	13.2	1.0	4	13.2	4.0		SLUDGE_BOMB	ヘドロばくだん	★	POISON	50	96.0	1.9	13	13.0	20.58
2	IVYSAUR	フシギソウ	GRASS	POISON		VINE_WHIP	つるのムチ	★	GRASS	6.0	1.0	8	6.0	8.0		SLUDGE_BOMB	ヘドロばくだん	★	POISON	50	96.0	1.9	7	7.0	19.71
2	IVYSAUR	フシギソウ	GRASS	POISON		RAZOR_LEAF	はっぱカッター	★	GRASS	13.2	1.0	4	13.2	4.0		SOLAR_BEAM	ソーラービーム	★	GRASS	80	180.0	2.3	20	20.0	22.20
2	IVYSAUR	フシギソウ	GRASS	POISON		VINE_WHIP	つるのムチ	★	GRASS	6.0	1.0	8	6.0	8.0		SOLAR_BEAM	ソーラービーム	★	GRASS	80	180.0	2.3	10	10.0	24.00
2	IVYSAUR	フシギソウ	GRASS	POISON		RAZOR_LEAF	はっぱカッター	★	GRASS	13.2	1.0	4	13.2	4.0		POWER_WHIP	パワーウィップ	★	GRASS	50	108.0	2.2	13	13.0	21.51
2	IVYSAUR	フシギソウ	GRASS	POISON		VINE_WHIP	つるのムチ	★	GRASS	6.0	1.0	8	6.0	8.0		POWER_WHIP	パワーウィップ	★	GRASS	50	108.0	2.2	7	7.0	21.43
3	VENUSAUR	フシギバナ	GRASS	POISON		RAZOR_LEAF	はっぱカッター	★	GRASS	13.2	1.0	4	13.2	4.0		SOLAR_BEAM	ソーラービーム	★	GRASS	80	180.0	2.3	20	20.0	22.20
3	VENUSAUR	フシギバナ	GRASS	POISON		VINE_WHIP	つるのムチ	★	GRASS	6.0	1.0	8	6.0	8.0		SOLAR_BEAM	ソーラービーム	★	GRASS	80	180.0	2.3	10	10.0	24.00
3	VENUSAUR	フシギバナ	GRASS	POISON		RAZOR_LEAF	はっぱカッター	★	GRASS	13.2	1.0	4	13.2	4.0	▲	FRENZY_PLANT	ハードプラント	★	GRASS	45	120.0	2.7	12	12.0	23.20
3	VENUSAUR	フシギバナ	GRASS	POISON		VINE_WHIP	つるのムチ	★	GRASS	6.0	1.0	8	6.0	8.0	▲	FRENZY_PLANT	ハードプラント	★	GRASS	45	120.0	2.7	6	6.0	26.00
3	VENUSAUR	フシギバナ	GRASS	POISON		RAZOR_LEAF	はっぱカッター	★	GRASS	13.2	1.0	4	13.2	4.0		PETAL_BLIZZARD	はなふぶき	★	GRASS	65	132.0	2.0	17	17.0	20.96
3	VENUSAUR	フシギバナ	GRASS	POISON		VINE_WHIP	つるのムチ	★	GRASS	6.0	1.0	8	6.0	8.0		PETAL_BLIZZARD	はなふぶき	★	GRASS	65	132.0	2.0	9	9.0	20.67
3	VENUSAUR	フシギバナ	GRASS	POISON		RAZOR_LEAF	はっぱカッター	★	GRASS	13.2	1.0	4	13.2	4.0		SLUDGE_BOMB	ヘドロばくだん	★	POISON	50	96.0	1.9	13	13.0	20.58
