ディアルガ	STEEL	DRAGON	りゅうのいぶき	DRAGON	アイアンヘッド	STEEL	4565	50	15	15	15	7184	128	131	8.5	3041.2	26610.62	6171.9	34943
パルキア	WATER	DRAGON	りゅうのいぶき	DRAGON	アクアテール	WATER	4512	50	15	15	15	7145	154	144	6.0	3093.6	19335.30	6316.2	33049
ギラティナ (アナザーフォルム)	GHOST	DRAGON	シャドークロー	GHOST	ドラゴンクロー	DRAGON	3820	50	15	15	15	7144	125	174	5.0	1588.8	13239.77	4236.7	50620
ルギア (シャドウ)	PSYCHIC	FLYING	ドラゴンテール	DRAGON	ゴッドバード	FLYING	4186	50	15	15	15	7124	149	170	7.5	2363.1	24539.45	5635.0	47792
ルギア・APEX (シャドウ)	PSYCHIC	FLYING	ドラゴンテール	DRAGON	ゴッドバード	FLYING	4186	50	15	15	15	7124	149	170	7.5	2363.1	24539.45	5635.0	47792
パルキア	WATER	DRAGON	ドラゴンテール	DRAGON	アクアテール	WATER	4512	50	15	15	15	7086	198	159	6.0	3351.5	19335.30	6574.0	33049
ディアルガ	STEEL	DRAGON	りゅうのいぶき	DRAGON	かみなり	ELECTRIC	4565	50	15	15	15	7056	200	187	10.0	3041.2	31679.31	6209.1	34943
ルギア	PSYCHIC	FLYING	ドラゴンテール	DRAGON	ゴッドバード	FLYING	4186	50	15	15	15	7053	168	222	7.5	1969.2	20449.54	4695.8	57350
ルギア・APEX	PSYCHIC	FLYING	ドラゴンテール	DRAGON	ゴッドバード	FLYING	4186	50	15	15	15	7053	168	222	7.5	1969.2	20449.54	4695.8	57350
レシラム	DRAGON	FIRE	りゅうのいぶき	DRAGON	かみくだく	DARK	4565	50	15	15	15	7025	234	184	7.5	3041.2	22175.52	5997.9	34943
ギラティナ (アナザーフォルム)	GHOST	DRAGON	りゅうのいぶき	DRAGON	ドラゴンクロー	DRAGON	3820	50	15	15	15	7023	112	308	6.0	2118.4	13239.77	4325.0	50620
ギラティナ (アナザーフォルム)	GHOST	DRAGON	りゅうのいぶき	DRAGON	かげうち	GHOST	3820	50	15	15	15	6981	190	272	7.5	2118.4	13239.77	3883.7	50620
メロエッタ (ボイスフォルム)	NORMAL	PSYCHIC	でんこうせっか	NORMAL	サイコショック	PSYCHIC	4490	50	15	15	15	6969	215	259	6.0	1736.9	24316.60	5789.7	40536
ギラティナ (アナザーフォルム)	GHOST	DRAGON	りゅうのいぶき	DRAGON	げんしのちから	ROCK	3820	50	15	15	15	6969	190	284	7.5	2118.4	13239.77	3883.7	50620
ゼクロム	DRAGON	ELECTRIC	りゅうのいぶき	DRAGON	かみくだく	DARK	4565	50	15	15	15	6963	231	249	7.5	3041.2	22175.52	5997.9	34943
ギラティナ (アナザーフォルム)	GHOST	DRAGON	シャドークロー	GHOST	げんしのちから	ROCK	3820	50	15	15	15	6948	185	310	6.0	1588.8	13239.77	3795.4	50620
ギラティナ (オリジンフォルム)	GHOST	DRAGON	ドラゴンテール	DRAGON	あやしいかぜ	GHOST	4164	50	15	15	15	6919	204	320	7.5	2726.6	14157.37	4614.3	42605
ギラティナ (オリジンフォルム)	GHOST	DRAGON	シャドークロー	GHOST	りゅうのはどう	DRAGON	4164	50	15	15	15	6912	209	322	8.0	1887.6	28314.75	5427.0	42605
ギラティナ (オリジンフォルム)	GHOST	DRAGON	シャドークロー	GHOST	シャドーボール	GHOST	4164	50	15	15	15	6901	213	329	7.0	1887.6	31460.83	6382.1	42605
カビゴン (シャドウ)	NORMAL		したでなめる	GHOST	のしかかり	NORMAL	3647	50	15	15	15	6893	245	305	6.0	1612.4	19348.41	4837.1	37236
ギラティナ (オリジンフォルム)	GHOST	DRAGON	ドラゴンテール	DRAGON	シャドーボール	GHOST	4164	50	15	15	15	6888	239	316	10.5	2726.6	31460.83	5722.9	42605
レシラム	DRAGON	FIRE	りゅうのいぶき	DRAGON	ストーンエッジ	ROCK	4565	50	15	15	15	6887	286	270	9.5	3041.2	31679.31	6375.9	34943
ガブリアス (シャドウ)	DRAGON	GROUND	ドラゴンテール	DRAGON	すなじごく	GROUND	4479	50	15	15	15	6881	179	383	7.5	3762.7	10853.99	5209.9	31024
ジラーチ	STEEL	PSYCHIC	ねんりき	PSYCHIC	はめつのねがい	STEEL	3691	50	15	15	15	6874	257	312	8.0	2359.6	22120.90	5124.7	38003
ガブリアス	DRAGON	GROUND	ドラゴンテール	DRAGON	すなじごく	GROUND	4479	50	15	15	15	6870	213	360	7.5	3135.6	9044.99	4341.6	37229
