0001	BULBASAUR	BULBASAUR	GRASS	POISON	128	118	111	VINE_WHIP_FAST/TACKLE_FAST	SLUDGE_BOMB/SEED_BOMB/POWER_WHIP
0001	BULBASAUR	BULBASAUR_FALL_2019	GRASS	POISON	128	118	111	VINE_WHIP_FAST/TACKLE_FAST	SLUDGE_BOMB/SEED_BOMB/POWER_WHIP
0001	BULBASAUR	BULBASAUR_NORMAL	GRASS	POISON	128	118	111	VINE_WHIP_FAST/TACKLE_FAST	SLUDGE_BOMB/SEED_BOMB/POWER_WHIP
0001	BULBASAUR	BULBASAUR_PURIFIED	GRASS	POISON	128	118	111	VINE_WHIP_FAST/TACKLE_FAST	SLUDGE_BOMB/SEED_BOMB/POWER_WHIP
0001	BULBASAUR	BULBASAUR_SHADOW	GRASS	POISON	128	118	111	VINE_WHIP_FAST/TACKLE_FAST	SLUDGE_BOMB/SEED_BOMB/POWER_WHIP
0002	IVYSAUR	IVYSAUR	GRASS	POISON	155	151	143	RAZOR_LEAF_FAST/VINE_WHIP_FAST	SLUDGE_BOMB/SOLAR_BEAM/POWER_WHIP
0002	IVYSAUR	IVYSAUR_NORMAL	GRASS	POISON	155	151	143	RAZOR_LEAF_FAST/VINE_WHIP_FAST	SLUDGE_BOMB/SOLAR_BEAM/POWER_WHIP
0002	IVYSAUR	IVYSAUR_PURIFIED	GRASS	POISON	155	151	143	RAZOR_LEAF_FAST/VINE_WHIP_FAST	SLUDGE_BOMB/SOLAR_BEAM/POWER_WHIP
0002	IVYSAUR	IVYSAUR_SHADOW	GRASS	POISON	155	151	143	RAZOR_LEAF_FAST/VINE_WHIP_FAST	SLUDGE_BOMB/SOLAR_BEAM/POWER_WHIP
0003	VENUSAUR	VENUSAUR	GRASS	POISON	190	198	189	RAZOR_LEAF_FAST/VINE_WHIP_FAST	SLUDGE_BOMB/PETAL_BLIZZARD/SOLAR_BEAM
0003	VENUSAUR	VENUSAUR_COPY_2019	GRASS	POISON	190	198	189	RAZOR_LEAF_FAST/VINE_WHIP_FAST	SLUDGE_BOMB/PETAL_BLIZZARD/SOLAR_BEAM
0003	VENUSAUR	VENUSAUR_NORMAL	GRASS	POISON	190	198	189	RAZOR_LEAF_FAST/VINE_WHIP_FAST	SLUDGE_BOMB/PETAL_BLIZZARD/SOLAR_BEAM
0003	VENUSAUR	VENUSAUR_PURIFIED	GRASS	POISON	190	198	189	RAZOR_LEAF_FAST/VINE_WHIP_FAST	SLUDGE_BOMB/PETAL_BLIZZARD/SOLAR_BEAM
0003	VENUSAUR	VENUSAUR_SHADOW	GRASS	POISON	190	198	189	RAZOR_LEAF_FAST/VINE_WHIP_FAST	SLUDGE_BOMB/PETAL_BLIZZARD/SOLAR_BEAM
0004	CHARMANDER	CHARMANDER	FIRE		118	116	93	EMBER_FAST/SCRATCH_FAST	FLAME_CHARGE/FLAME_BURST/FLAMETHROWER
0004	CHARMANDER	CHARMANDER_FALL_2019	FIRE		118	116	93	EMBER_FAST/SCRATCH_FAST	FLAME_CHARGE/FLAME_BURST/FLAMETHROWER
0004	CHARMANDER	CHARMANDER_NORMAL	FIRE		118	116	93	EMBER_FAST/SCRATCH_FAST	FLAME_CHARGE/FLAME_BURST/FLAMETHROWER
