BULBASAUR	VINE_WHIP	SLUDGE_BOMB	4555	895	3672
BULBASAUR	TACKLE	SLUDGE_BOMB	2603	721	5798
BULBASAUR	VINE_WHIP	SEED_BOMB	4165	798	4159
BULBASAUR	TACKLE	SEED_BOMB	2407	673	6042
BULBASAUR	VINE_WHIP	POWER_WHIP	4886	784	3452
BULBASAUR	TACKLE	POWER_WHIP	2912	827	5383
BULBASAUR_SHADOW	VINE_WHIP	SLUDGE_BOMB	4917	1026	3179
BULBASAUR_SHADOW	TACKLE	SLUDGE_BOMB	2471	843	5808
BULBASAUR_SHADOW	VINE_WHIP	SEED_BOMB	4490	902	3730
BULBASAUR_SHADOW	TACKLE	SEED_BOMB	2626	981	5515
BULBASAUR_SHADOW	VINE_WHIP	POWER_WHIP	5042	865	3215
BULBASAUR_SHADOW	TACKLE	POWER_WHIP	2672	915	5535
IVYSAUR	RAZOR_LEAF	SLUDGE_BOMB	5803	747	2572
IVYSAUR	VINE_WHIP	SLUDGE_BOMB	6077	742	2303
IVYSAUR	RAZOR_LEAF	SOLAR_BEAM	4553	730	3839
IVYSAUR	VINE_WHIP	SOLAR_BEAM	6182	820	2120
IVYSAUR	RAZOR_LEAF	POWER_WHIP	5622	744	2756
IVYSAUR	VINE_WHIP	POWER_WHIP	6216	592	2314
IVYSAUR_SHADOW	RAZOR_LEAF	SLUDGE_BOMB	5472	886	2764
IVYSAUR_SHADOW	VINE_WHIP	SLUDGE_BOMB	6430	770	1922
IVYSAUR_SHADOW	RAZOR_LEAF	SOLAR_BEAM	4569	808	3745
IVYSAUR_SHADOW	VINE_WHIP	SOLAR_BEAM	5773	1149	2200
IVYSAUR_SHADOW	RAZOR_LEAF	POWER_WHIP	5352	845	2925
IVYSAUR_SHADOW	VINE_WHIP	POWER_WHIP	6263	664	2195
VENUSAUR	RAZOR_LEAF	SLUDGE_BOMB	5592	820	2710
VENUSAUR	VINE_WHIP	SLUDGE_BOMB	5959	774	2389
VENUSAUR	RAZOR_LEAF	PETAL_BLIZZARD	4662	730	3730
VENUSAUR	VINE_WHIP	PETAL_BLIZZARD	5739	603	2780
VENUSAUR	RAZOR_LEAF	SOLAR_BEAM	4383	740	3999
VENUSAUR	VINE_WHIP	SOLAR_BEAM	6007	868	2247
VENUSAUR_SHADOW	RAZOR_LEAF	SLUDGE_BOMB	5290	922	2910
VENUSAUR_SHADOW	VINE_WHIP	SLUDGE_BOMB	6360	774	1988
VENUSAUR_SHADOW	RAZOR_LEAF	PETAL_BLIZZARD	4599	849	3674
VENUSAUR_SHADOW	VINE_WHIP	PETAL_BLIZZARD	5748	826	2548
VENUSAUR_SHADOW	RAZOR_LEAF	SOLAR_BEAM	4460	837	3825
VENUSAUR_SHADOW	VINE_WHIP	SOLAR_BEAM	5591	1132	2399
CHARMANDER	EMBER	FLAME_CHARGE	2980	810	5332
CHARMANDER	SCRATCH	FLAME_CHARGE	1893	952	6277
CHARMANDER	EMBER	FLAME_BURST	2723	879	5520
CHARMANDER	SCRATCH	FLAME_BURST	1445	848	6829
CHARMANDER	EMBER	FLAMETHROWER	3239	1037	4846
CHARMANDER	SCRATCH	FLAMETHROWER	1599	940	6583
CHARMANDER_SHADOW	EMBER	FLAME_CHARGE	3151	1033	4938
CHARMANDER_SHADOW	SCRATCH	FLAME_CHARGE	1635	949	6538
CHARMANDER_SHADOW	EMBER	FLAME_BURST	2796	1091	5235
CHARMANDER_SHADOW	SCRATCH	FLAME_BURST	1194	775	7153
CHARMANDER_SHADOW	EMBER	FLAMETHROWER	3232	1224	4666
CHARMANDER_SHADOW	SCRATCH	FLAMETHROWER	1249	803	7070
CHARMELEON	EMBER	FIRE_PUNCH	5535	803	2784
CHARMELEON	FIRE_FANG	FIRE_PUNCH	5748	693	2681
CHARMELEON	SCRATCH	FIRE_PUNCH	5028	951	3143
CHARMELEON	EMBER	FLAME_BURST	5203	828	3091
CHARMELEON	FIRE_FANG	FLAME_BURST	5489	768	2865
CHARMELEON	SCRATCH	FLAME_BURST	3941	1039	4142
CHARMELEON	EMBER	FLAMETHROWER	5762	825	2535
CHARMELEON	FIRE_FANG	FLAMETHROWER	5841	783	2498
CHARMELEON	SCRATCH	FLAMETHROWER	4126	1047	3949
CHARMELEON_SHADOW	EMBER	FIRE_PUNCH	5780	775	2567
CHARMELEON_SHADOW	FIRE_FANG	FIRE_PUNCH	5968	764	2390
CHARMELEON_SHADOW	SCRATCH	FIRE_PUNCH	5017	1219	2886
CHARMELEON_SHADOW	EMBER	FLAME_BURST	5143	1061	2918
CHARMELEON_SHADOW	FIRE_FANG	FLAME_BURST	5306	953	2863
CHARMELEON_SHADOW	SCRATCH	FLAME_BURST	3371	1098	4653
CHARMELEON_SHADOW	EMBER	FLAMETHROWER	5466	1140	2516
CHARMELEON_SHADOW	FIRE_FANG	FLAMETHROWER	5550	965	2607
CHARMELEON_SHADOW	SCRATCH	FLAMETHROWER	3460	1105	4557
CHARIZARD	FIRE_SPIN	FIRE_BLAST	4846	1053	3223
