ハガネール (シャドウ)	STEEL	GROUND	ドラゴンテール	DRAGON	サイコファング	PSYCHIC	1500	24	0	14	15	9090	379	315	6.0	1309.5	6043.84	2316.8	19965
ハガネール	STEEL	GROUND	ドラゴンテール	DRAGON	サイコファング	PSYCHIC	1500	24	0	14	15	9068	384	332	6.0	1091.2	5036.54	1930.7	23958
ギラティナ (アナザーフォルム)	GHOST	DRAGON	りゅうのいぶき	DRAGON	ドラゴンクロー	DRAGON	1499	17	0	11	12	8833	356	595	6.0	1285.4	8033.86	2624.4	21188
ギラティナ (アナザーフォルム)	GHOST	DRAGON	シャドークロー	GHOST	ドラゴンクロー	DRAGON	1499	17	0	11	12	8731	431	622	5.0	964.1	8033.86	2570.8	21188
ベロリンガ	NORMAL		したでなめる	GHOST	のしかかり	NORMAL	1499	50	8	14	15	8707	571	506	6.0	760.3	9123.64	2280.9	23601
ゴンベ	NORMAL		たいあたり	NORMAL	のしかかり	NORMAL	1497	35	0	1	15	8656	407	721	6.0	976.6	9765.69	2604.2	20579
ミルタンク	NORMAL		たいあたり	NORMAL	のしかかり	NORMAL	1497	24.5	0	14	14	8607	387	790	6.0	971.7	9716.75	2591.1	20805
ズルズキン	DARK	FIGHTING	カウンター	FIGHTING	イカサマ	DARK	1498	25	1	15	14	8598	378	808	7.0	1367.1	11961.90	3075.9	18679
ヤミラミ	DARK	GHOST	シャドークロー	GHOST	イカサマ	DARK	1499	49.5	0	15	15	8590	465	729	6.0	1105.7	12899.83	3255.7	16067
ヤルキモノ	NORMAL		カウンター	FIGHTING	のしかかり	NORMAL	1498	29.5	0	12	14	8589	536	659	5.0	1199.8	10798.31	3359.5	16859
チルタリス	DRAGON	FLYING	りゅうのいぶき	DRAGON	ゴッドバード	FLYING	1497	29	0	14	15	8564	384	836	7.5	1265.9	11867.93	2848.3	21809
ヨクバリス	NORMAL		たいあたり	NORMAL	のしかかり	NORMAL	1500	24.5	0	12	14	8559	445	780	6.0	990.2	9902.42	2640.6	20106
バイウールー	NORMAL		にどげり	FIGHTING	のしかかり	NORMAL	1497	26	1	15	15	8474	556	754	4.5	755.6	10201.13	3022.6	18861
ハクリュー	DRAGON		りゅうのいぶき	DRAGON	アクアテール	WATER	1499	34	1	15	15	8469	567	748	6.0	1546.7	8055.61	2889.3	14623
ブラッキー	DARK		バークアウト	DARK	イカサマ	DARK	1500	27.5	0	15	15	8453	471	860	6.0	459.0	9638.91	2065.5	28761
ハクリュー	DRAGON		りゅうのいぶき	DRAGON	のしかかり	NORMAL	1499	34	1	15	15	8445	561	778	6.0	1546.7	9666.73	3157.8	14623
